episodes,Average Reward
9000,-0.62
9010,-0.6
9020,-0.55
9030,-0.49
9040,-0.5
9050,-0.44
9060,-0.45
9070,-0.43
9080,-0.47
9090,-0.46
9100,-0.46
9110,-0.48
9120,-0.55
9130,-0.68
9140,-0.73
9150,-0.8
9160,-0.81
9170,-0.87
9180,-0.85
9190,-0.81
9200,-0.8
9210,-0.8
9220,-0.8
9230,-0.62
9240,-0.55
9250,-0.51
9260,-0.48
9270,-0.47
9280,-0.46
9290,-0.48
9300,-0.47
9310,-0.5
9320,-0.54
9330,-0.72
9340,-0.76
9350,-0.8
9360,-0.84
9370,-0.84
9380,-0.68
9390,-0.62
9400,-0.65
9410,-0.65
9420,-0.61
9430,-0.6
9440,-0.57
9450,-0.54
9460,-0.52
9470,-0.47
9480,-0.54
9490,-0.66
9500,-0.59
9510,-0.6
9520,-0.64
9530,-0.62
9540,-0.66
9550,-0.7
9560,-0.74
9570,-0.75
9580,-0.87
9590,-0.84
9600,-0.91
9610,-0.89
9620,-0.87
9630,-0.88
9640,-0.85
9650,-0.75
9660,-0.73
9670,-0.72
9680,-0.66
9690,-0.57
9700,-0.55
9710,-0.57
9720,-0.58
9730,-0.55
9740,-0.57
9750,-0.63
9760,-0.65
9770,-0.7
9780,-0.73
9790,-0.79
9800,-0.84
9810,-0.83
9820,-0.81
9830,-0.83
9840,-0.81
9850,-0.85
9860,-0.81
9870,-0.8
9880,-0.83
9890,-0.91
9900,-0.86
9910,-0.89
9920,-0.9
9930,-0.93
9940,-0.93
9950,-0.91
9960,-0.87
9970,-0.87
9980,-0.86
9990,-0.78
10000,-0.79
10010,-0.75
10020,-0.74
10030,-0.69
10040,-0.6
10050,-0.63
10060,-0.57
10070,-0.59
10080,-0.57
10090,-0.59
10100,-0.6
10110,-0.64
10120,-0.63
10130,-0.62
10140,-0.7
10150,-0.67
10160,-0.79
10170,-0.79
10180,-0.76
10190,-0.76
10200,-0.67
10210,-0.6
10220,-0.62
10230,-0.59
10240,-0.59
10250,-0.61
10260,-0.54
10270,-0.5
10280,-0.53
10290,-0.52
10300,-0.62
10310,-0.67
10320,-0.68
10330,-0.71
10340,-0.73
10350,-0.69
10360,-0.77
10370,-0.76
10380,-0.71
10390,-0.74
10400,-0.71
10410,-0.66
10420,-0.67
10430,-0.69
10440,-0.65
10450,-0.59
10460,-0.6
10470,-0.66
10480,-0.71
10490,-0.68
10500,-0.68
10510,-0.71
10520,-0.68
10530,-0.64
10540,-0.59
10550,-0.66
10560,-0.62
10570,-0.62
10580,-0.67
10590,-0.69
10600,-0.71
10610,-0.72
10620,-0.66
10630,-0.67
10640,-0.77
10650,-0.75
10660,-0.73
10670,-0.72
10680,-0.71
10690,-0.75
10700,-0.74
10710,-0.76
10720,-0.85
10730,-0.91
10740,-0.91
10750,-0.93
10760,-0.98
10770,-1.02
10780,-1.01
10790,-0.99
10800,-1.01
10810,-1.01
10820,-0.99
10830,-1.0
10840,-0.93
10850,-0.95
10860,-0.92
10870,-0.89
10880,-0.86
10890,-0.87
10900,-0.82
10910,-0.82
10920,-0.82
10930,-0.8
10940,-0.82
10950,-0.74
10960,-0.73
10970,-0.71
10980,-0.68
10990,-0.68
11000,-0.74
11010,-0.71
11020,-0.7
11030,-0.71
11040,-0.78
11050,-0.85
11060,-0.83
11070,-0.82
11080,-0.91
11090,-0.89
11100,-0.86
11110,-0.88
11120,-0.93
11130,-0.88
11140,-0.9
11150,-0.91
11160,-0.97
11170,-0.95
11180,-0.87
11190,-0.9
11200,-0.85
11210,-0.8
11220,-0.79
11230,-0.81
11240,-0.75
11250,-0.7
11260,-0.64
11270,-0.64
11280,-0.68
11290,-0.68
11300,-0.68
11310,-0.74
11320,-0.7
11330,-0.66
11340,-0.65
11350,-0.65
11360,-0.65
11370,-0.68
11380,-0.71
11390,-0.68
11400,-0.7
11410,-0.69
11420,-0.74
11430,-0.81
11440,-0.84
11450,-0.91
11460,-0.96
11470,-0.97
11480,-0.89
11490,-0.91
11500,-0.88
11510,-0.93
11520,-0.86
11530,-0.84
11540,-0.8
11550,-0.8
11560,-0.79
11570,-0.84
11580,-0.86
11590,-0.87
11600,-0.96
11610,-0.9
11620,-0.97
11630,-0.99
11640,-1.04
11650,-1.02
11660,-0.97
11670,-0.93
11680,-1.0
11690,-0.97
11700,-0.96
11710,-0.93
11720,-0.87
11730,-0.91
11740,-0.92
11750,-0.92
11760,-0.98
11770,-0.95
11780,-0.93
11790,-0.95
11800,-1.0
11810,-1.06
11820,-1.08
11830,-1.03
11840,-1.0
11850,-1.0
11860,-1.01
11870,-1.02
11880,-0.96
11890,-0.99
11900,-0.95
11910,-0.92
11920,-0.87
11930,-0.86
11940,-0.85
11950,-0.83
11960,-0.8
11970,-0.71
11980,-0.69
11990,-0.68
12000,-0.64
12010,-0.64
12020,-0.67
12030,-0.69
12040,-0.66
12050,-0.68
12060,-0.65
12070,-0.77
12080,-0.79
12090,-0.79
12100,-0.8
12110,-0.73
12120,-0.72
12130,-0.7
12140,-0.78
12150,-0.76
12160,-0.81
12170,-0.78
12180,-0.82
12190,-0.79
12200,-0.8
12210,-0.88
12220,-0.89
12230,-0.93
12240,-0.93
12250,-0.93
12260,-0.91
12270,-0.86
12280,-0.83
12290,-0.81
12300,-0.81
12310,-0.78
12320,-0.81
12330,-0.79
12340,-0.73
12350,-0.72
12360,-0.7
12370,-0.68
12380,-0.72
12390,-0.7
12400,-0.72
12410,-0.71
12420,-0.64
12430,-0.61
12440,-0.63
12450,-0.66
12460,-0.66
12470,-0.74
12480,-0.75
12490,-0.78
12500,-0.76
12510,-0.79
12520,-0.87
12530,-0.9
12540,-0.91
12550,-0.91
12560,-0.9
12570,-0.85
12580,-0.81
12590,-0.84
12600,-0.81
12610,-0.8
12620,-0.82
12630,-0.79
12640,-0.79
12650,-0.77
12660,-0.67
12670,-0.65
12680,-0.63
12690,-0.57
12700,-0.62
12710,-0.65
12720,-0.61
12730,-0.64
12740,-0.66
12750,-0.67
12760,-0.81
12770,-0.84
12780,-0.88
12790,-0.86
12800,-0.8
12810,-0.72
12820,-0.67
12830,-0.66
12840,-0.69
12850,-0.73
12860,-0.73
12870,-0.78
12880,-0.77
12890,-0.84
12900,-0.88
12910,-0.97
12920,-1.0
12930,-0.88
12940,-0.83
12950,-0.8
12960,-0.74
12970,-0.72
12980,-0.74
12990,-0.73
13000,-0.75
13010,-0.71
13020,-0.67
13030,-0.77
13040,-0.74
13050,-0.72
13060,-0.79
13070,-0.77
13080,-0.74
13090,-0.74
13100,-0.74
13110,-0.74
13120,-0.78
13130,-0.8
13140,-0.86
13150,-0.84
13160,-0.77
13170,-0.82
13180,-0.81
13190,-0.79
13200,-0.78
13210,-0.8
13220,-0.84
13230,-0.79
13240,-0.77
13250,-0.81
13260,-0.85
13270,-0.86
13280,-0.88
13290,-0.91
13300,-0.91
13310,-0.92
13320,-0.86
13330,-0.9
13340,-0.9
13350,-0.86
13360,-0.86
13370,-0.8
13380,-0.82
13390,-0.86
13400,-0.85
13410,-0.84
13420,-0.88
13430,-0.93
13440,-0.99
13450,-1.0
13460,-1.01
13470,-1.07
13480,-1.04
13490,-1.0
13500,-0.99
13510,-0.97
13520,-1.0
13530,-0.91
13540,-0.82
13550,-0.87
13560,-0.88
13570,-0.86
13580,-0.86
13590,-0.85
13600,-0.77
13610,-0.77
13620,-0.75
13630,-0.77
13640,-0.8
13650,-0.75
13660,-0.73
13670,-0.72
13680,-0.71
13690,-0.7
13700,-0.79
13710,-0.78
13720,-0.81
13730,-0.85
13740,-0.83
13750,-0.86
13760,-0.93
13770,-0.94
13780,-0.99
13790,-1.0
13800,-1.03
13810,-1.03
13820,-1.02
13830,-1.03
13840,-1.04
13850,-1.01
13860,-0.97
13870,-0.98
13880,-0.94
13890,-0.96
13900,-0.94
13910,-0.97
13920,-0.97
13930,-0.97
13940,-0.97
13950,-0.95
13960,-0.88
13970,-0.86
13980,-0.79
13990,-0.79
14000,-0.8
14010,-0.77
14020,-0.72
14030,-0.68
14040,-0.69
14050,-0.71
14060,-0.78
14070,-0.73
14080,-0.81
14090,-0.78
14100,-0.74
14110,-0.77
14120,-0.78
14130,-0.81
14140,-0.82
14150,-0.82
14160,-0.79
14170,-0.78
14180,-0.81
14190,-0.81
14200,-0.83
14210,-0.76
14220,-0.8
14230,-0.78
14240,-0.72
14250,-0.7
14260,-0.7
14270,-0.65
14280,-0.57
14290,-0.57
14300,-0.57
14310,-0.62
14320,-0.56
14330,-0.55
14340,-0.62
14350,-0.68
14360,-0.74
14370,-0.81
14380,-0.82
14390,-0.8
14400,-0.79
14410,-0.76
14420,-0.78
14430,-0.74
14440,-0.66
14450,-0.56
14460,-0.51
14470,-0.54
14480,-0.59
14490,-0.58
14500,-0.58
14510,-0.65
14520,-0.62
14530,-0.7
14540,-0.69
14550,-0.75
14560,-0.77
14570,-0.8
14580,-0.76
14590,-0.81
14600,-0.84
14610,-0.79
14620,-0.81
14630,-0.77
14640,-0.75
14650,-0.74
14660,-0.7
14670,-0.71
14680,-0.71
14690,-0.67
14700,-0.66
14710,-0.67
14720,-0.6
14730,-0.64
14740,-0.69
14750,-0.68
14760,-0.67
14770,-0.66
14780,-0.7
14790,-0.67
14800,-0.62
14810,-0.67
14820,-0.77
14830,-0.73
14840,-0.74
14850,-0.79
14860,-0.83
14870,-0.78
14880,-0.76
14890,-0.87
14900,-0.94
14910,-0.86
14920,-0.87
14930,-0.89
14940,-0.93
14950,-0.93
14960,-0.91
14970,-0.94
14980,-0.96
14990,-0.93
15000,-0.92
15010,-0.95
15020,-0.87
15030,-0.85
15040,-0.85
15050,-0.78
15060,-0.84
15070,-0.86
15080,-0.78
15090,-0.73
15100,-0.65
15110,-0.57
15120,-0.63
15130,-0.63
15140,-0.6
15150,-0.62
15160,-0.55
15170,-0.56
15180,-0.67
15190,-0.68
15200,-0.7
15210,-0.79
15220,-0.67
15230,-0.65
15240,-0.63
15250,-0.68
15260,-0.71
15270,-0.65
15280,-0.57
15290,-0.59
15300,-0.61
15310,-0.61
15320,-0.74
15330,-0.77
15340,-0.74
15350,-0.66
15360,-0.64
15370,-0.67
15380,-0.71
15390,-0.67
15400,-0.7
15410,-0.69
15420,-0.65
15430,-0.67
15440,-0.7
15450,-0.8
15460,-0.85
15470,-0.81
15480,-0.83
15490,-0.85
15500,-0.86
15510,-0.92
15520,-0.93
15530,-0.89
15540,-0.92
15550,-0.86
15560,-0.84
15570,-0.83
15580,-0.83
15590,-0.81
15600,-0.79
15610,-0.74
15620,-0.75
15630,-0.81
15640,-0.8
15650,-0.84
15660,-0.82
15670,-0.88
15680,-0.8
15690,-0.85
15700,-0.82
15710,-0.81
15720,-0.8
15730,-0.78
15740,-0.75
15750,-0.73
15760,-0.77
15770,-0.75
15780,-0.77
15790,-0.77
15800,-0.78
15810,-0.84
15820,-0.86
15830,-0.85
15840,-0.86
15850,-0.82
15860,-0.73
15870,-0.72
15880,-0.72
15890,-0.74
15900,-0.75
15910,-0.64
15920,-0.56
15930,-0.5
15940,-0.49
15950,-0.48
15960,-0.47
15970,-0.5
15980,-0.51
15990,-0.45
16000,-0.48
16010,-0.47
16020,-0.53
16030,-0.56
16040,-0.62
16050,-0.65
16060,-0.72
16070,-0.7
16080,-0.71
16090,-0.66
16100,-0.65
16110,-0.61
16120,-0.56
16130,-0.57
16140,-0.52
16150,-0.56
16160,-0.49
16170,-0.47
16180,-0.48
16190,-0.55
16200,-0.55
16210,-0.65
16220,-0.68
16230,-0.72
16240,-0.69
16250,-0.64
16260,-0.74
16270,-0.79
16280,-0.78
16290,-0.77
16300,-0.74
16310,-0.74
16320,-0.75
16330,-0.68
16340,-0.67
16350,-0.66
16360,-0.68
16370,-0.65
16380,-0.64
16390,-0.65
16400,-0.65
16410,-0.66
16420,-0.64
16430,-0.71
16440,-0.68
16450,-0.69
16460,-0.62
16470,-0.6
16480,-0.63
16490,-0.58
16500,-0.59
16510,-0.54
16520,-0.56
16530,-0.48
16540,-0.5
16550,-0.51
16560,-0.47
16570,-0.47
16580,-0.43
16590,-0.48
16600,-0.46
16610,-0.49
16620,-0.48
16630,-0.48
16640,-0.53
16650,-0.5
16660,-0.56
16670,-0.58
16680,-0.62
16690,-0.66
16700,-0.65
16710,-0.65
16720,-0.65
16730,-0.71
16740,-0.76
16750,-0.78
16760,-0.78
16770,-0.76
16780,-0.76
16790,-0.71
16800,-0.73
16810,-0.76
16820,-0.78
16830,-0.78
16840,-0.77
16850,-0.81
16860,-0.79
16870,-0.74
16880,-0.75
16890,-0.71
16900,-0.65
16910,-0.57
16920,-0.49
16930,-0.46
16940,-0.44
16950,-0.41
16960,-0.45
16970,-0.51
16980,-0.45
16990,-0.45
17000,-0.5
17010,-0.55
17020,-0.52
17030,-0.54
17040,-0.56
17050,-0.57
17060,-0.56
17070,-0.55
17080,-0.56
17090,-0.61
17100,-0.62
17110,-0.48
17120,-0.58
17130,-0.55
17140,-0.51
17150,-0.48
17160,-0.42
17170,-0.37
17180,-0.37
17190,-0.33
17200,-0.29
17210,-0.38
17220,-0.42
17230,-0.44
17240,-0.47
17250,-0.47
17260,-0.48
17270,-0.54
17280,-0.57
17290,-0.59
17300,-0.62
17310,-0.71
17320,-0.69
17330,-0.64
17340,-0.58
17350,-0.61
17360,-0.61
17370,-0.58
17380,-0.53
17390,-0.57
17400,-0.5
17410,-0.42
17420,-0.36
17430,-0.42
17440,-0.47
17450,-0.49
17460,-0.55
17470,-0.54
17480,-0.6
17490,-0.52
17500,-0.58
17510,-0.61
17520,-0.69
17530,-0.68
